127.0.0.1 - - [01/Nov/2020:10:21:06 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:21:21 +0530] "GET /IBS/ HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:21:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:21:35 +0530] "GET /IBS/index.jsp HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:21:37 +0530] "GET /IBS/new_user_registration_form.jsp HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:21:37 +0530] "GET /IBS/new_user_registration_form.jsp HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:22:18 +0530] "GET /IBS/user_login.jsp HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:22:29 +0530] "GET /IBS/ibs_employee_login.jsp HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:22:29 +0530] "GET /IBS/ibs_employee_login.jsp HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:26:40 +0530] "GET /IBS/index.jsp HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:26:41 +0530] "GET /IBS/new_user_registration_form.jsp HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:28:42 +0530] "GET /IBS/new_user_registration_form.jsp HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:30:23 +0530] "GET /IBS/new_user_registration_form.jsp HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:30:28 +0530] "GET /IBS/new_user_registration_form.jsp HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:30:31 +0530] "GET /IBS/user_login.jsp HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:30:34 +0530] "GET /IBS/index.jsp HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [01/Nov/2020:10:30:35 +0530] "GET /IBS/user_new_registration_form.jsp HTTP/1.1" 200 1313
